my.site.num,study.site,study,"jumping.worms (Amynthus, metaphire, megascolecids)",area.sampled.m2,site.replicates,replicate.size.m2,collection.method,replicate.mindistance.m,site.mindistance,sampling.notes,sample.year,sample.month,latitude,longitude,country,state/province,dist.road,elevation,altitude.m.asl,habitat.type,dom.tree.spp,dom.tree,dom.veg.spp,dom.veg,annual.precip.mm,ph,ph.method,soil.moisture.pct,mean.july.tempc,mean.jan.tempc,mean.study.temp,soil.temp,mean.annu.soil.temp,organic.C.kg,organic.N,soil.organic.matter%,,Endogeic,Epi-endogeic,Epigeic,Endogeic,Endogeic,Anecic,Endogeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epigeic,Epi-endogeic,Anecic,Endogeic,Endogeic,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Unknown,row.totals,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Anecic spp.,Endogeic spp.,Epigeic spp.,Epi-endogeic spp.,Follow.Fox,Fox.epiendo,Fox.noepiendo,,
69,CPF-PP-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.8107,-75.56393333,US,New York,277.309,362,,plantation,,,,,,5.67,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,N,N,N,,
71,CTH-SM-2,"McCay & Scull, 2019",N,2.16,6,0.36,mustard,,50,Madison County site,2009,June,42.818167,-75.41585,US,New York,553.624,526,,deciduous forest,,,,,,5.75,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,1,2,0,1,1,2,0,1,N,N,N,,
72,CUHL,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2014,June,42.815,-75.54083333,US,New York,,340,,deciduous forest,,,,,,5.08,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,Y,Y,Y,,
75,CZSP,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.983847,-75.84985,US,New York,214,277,,yard,,,,,,6.12,,,,,,,,,,,,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6,1,4,2,0,1,4,2,0,N,N,N,,
77,ESF-PP-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.75596667,-75.5893,US,New York,170,460,,plantation,,,,,,5.85,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,0,1,1,1,Y,Y,Y,,
80,GRAL,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.91717,-75.88884,US,New York,425,434,,deciduous forest,,,,,,5.41,,,,,,,,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,7,2,3,2,0,2,3,2,0,Maybe?,Y,N,,
81,GVYD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2014,June,42.935431,-75.851526,US,New York,55.69,383,,yard,,,,,,6.12,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,6,1,2,2,1,1,2,2,1,Y - Strong,Y,Y,,
83,KFLD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2013,June,42.89956,-75.87469,US,New York,260,378,,deciduous forest,,,,,,5.21,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,7,1,2,3,1,1,2,3,1,N,N,N,,
84,KIY-YD,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2012,Nov,42.49538,-75.32381,US,New York,27,346,,yard,,,,,,4.67,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,2,0,0,1,2,0,0,N,N,N,,
87,LSF-PP-1,"McCay & Scull, 2019",N,1.08,3,0.36,mustard,,50,Madison County site,2009,July,42.76071667,-75.63818333,US,New York,98.489,483,,plantation,,,,,,5.83,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,5,0,3,3,0,0,3,3,0,N,N,N,,
